code,label,broad_group,note
1,Dept. of Education,Government,
2,Tribal Welfare Department,Government,
3,Local Body,Government,
4,Govt. aided,Aided,
5,Pvt. Unaided (Recognized),Private,
6,Other Govt. Managed Schools,Government,
8,Unrecognized,Private,
90,Social Welfare Dept.,Government,
91,Ministry of Labour,Government,
92,Central School,Government,"Kendriya Vidyalaya"
93,Jawahar Navodaya Vidhyalaya,Government,"the JNV network — see the jnv/ source in this repo"
94,Sanik School,Government,
95,Railway School,Government,
96,Central Tibetan School,Government,
97,Madarsa Recognized (by Wakf Board/Madarsa Board),Other,
98,Madarsa Unrecognized,Other,
7,,Unknown,"UNDOCUMENTED. Not in either codebook's management list. 4,008 school-years across 4 editions. No label is given because none is published; broad_group is 'Unknown' so these schools stay visible in a GROUP BY instead of vanishing into a NULL bucket."
89,,Unknown,"UNDOCUMENTED. 89 school-years across 4 editions."
99,,Unknown,"UNDOCUMENTED. 2,586 school-years across 4 editions. Likely an 'other/unspecified' sentinel, but the codebooks do not say so."
101,,Unknown,"UNDOCUMENTED. 600 school-years, present in all 5 editions."
102,,Unknown,"UNDOCUMENTED. 23 school-years across 2 editions."
